4 [DEBUG   ] [reader] [READER] >> Set Baudrate
2026-09-03 22:14:45 [INFO    ] [reader] [READER] Baudrate set OK (921600)
2026-09-03 22:14:45 [INFO    ] [reader] [READER] Connecting at 921600
2026-09-03 22:14:46 [INFO    ] [reader] [READER] Connecting at 115200
2026-09-03 22:14:46 [INFO    ] [reader] [READER] Application mode @ 115200
2026-09-03 22:14:46 [WARNING ] [reader] [READER] Reader at non-target baud 115200, will be corrected on next set_baudrate()
2026-09-03 22:14:48 [INFO    ] [reader] [READER] Module SOFTWARE/FIRMWARE VERSION = 2025.07.14 rev1  (chip=E710 antenna_ports=8 region=FCC hw_rev=0 bootloader=22021100 compiled=2025.07.14 protocol=00000010 raw_fw=25071401)
2026-09-03 22:14:48 [INFO    ] [reader] [CONFIG] rssi_threshold=-95dBm -> RSSI filter ENABLED at module level (0xAA5B): module itself will not upload reads weaker than -95dBm (they never cross the serial link at all) -> CMD=FF12AA4D6F64756C6574656368AA5B01AAA10051BB1EB9
2026-09-03 22:14:48 [INFO    ] [reader] [CONFIG] q_mode=dynamic -> CMD=FF039B051200CEE8 (module's own default)
2026-09-03 22:14:48 [INFO    ] [reader] [AUTO-TUNE] scan_timeout=12.0s antenna_count=5 passes_target=3 -> dwell_ms=800 (ideal=800.0) one_cycle=4.00s quiet_stop=10.00s (2.50 cycles) passes_achieved=3.00
2026-09-03 22:14:48 [INFO    ] [reader] [CONFIG] scan_timeout=12s quiet_stop=10.0s stable_threshold=0 rssi=-95(module-level 0xAA5B) prefix=('8600',) power=30dBm antenna_allowed=[1, 2, 3, 4, 5] dwell_ms=800 auto_tune=True inventory_mode=AA48 q=dynamic min_reads_per_scan=1 min_native_read_count=1 rssi_strict=-95dBm(if count<10)
2026-09-03 22:14:48 [DEBUG   ] [reader] [READER] SET REGION: SUCCESS
2026-09-03 22:14:48 [DEBUG   ] [reader] [READER] SET GEN2: SUCCESS
2026-09-03 22:14:48 [DEBUG   ] [reader] [READER] SET POWER: SUCCESS
2026-09-03 22:14:49 [DEBUG   ] [reader] [READER] SET RSSI FILTER (0xAA5B): SUCCESS
2026-09-03 22:14:49 [DEBUG   ] [reader] [READER] ENABLE ANT: SUCCESS
2026-09-03 22:14:49 [WARNING ] [reader] [READER] SET ANTENNA DWELL: STATUS=0500 RAW=ff0095050052dc
2026-09-03 22:14:49 [WARNING ] [reader] [SCAN] SET ANTENNA DWELL not confirmed - module may fall back to its own 4000ms/antenna default, which can make round-robin timing less predictable within scan_timeout.
2026-09-03 22:14:50 [DEBUG   ] [reader] [READER] SET RFMODE: SUCCESS
2026-09-03 22:14:50 [DEBUG   ] [reader] [READER] SET SESSION 1: SUCCESS
2026-09-03 22:14:50 [DEBUG   ] [reader] [READER] SET TARGET AB: SUCCESS
2026-09-03 22:14:50 [DEBUG   ] [reader] [READER] SET Q (dynamic): SUCCESS
2026-09-03 22:14:51 [INFO    ] [reader] [SCAN] Setup took 3.16s (region/gen2/power/antenna/dwell/rfmode/session/target/q/start-async) - scan clock reset here, scan_timeout=12s now means 12s of actual listening time.
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #049 EPC:860015332900000000002EEF RSSI:-59 NativeRC:1 Rate:43203.9/s Total:49 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #050 EPC:860015332900000000002EE7 RSSI:-43 NativeRC:1 Rate:44085.6/s Total:50 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #051 EPC:860015332900000000002D6A RSSI:-51 NativeRC:1 Rate:44967.3/s Total:51 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #052 EPC:860015332900000000002EFC RSSI:-56 NativeRC:1 Rate:45849.0/s Total:52 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #053 EPC:860015332900000000002F19 RSSI:-44 NativeRC:1 Rate:46730.7/s Total:53 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #054 EPC:860015332900000000002EE3 RSSI:-39 NativeRC:1 Rate:47612.4/s Total:54 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #055 EPC:860015332900000000002ED3 RSSI:-40 NativeRC:1 Rate:48494.2/s Total:55 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #056 EPC:860015332900000000002EB9 RSSI:-52 NativeRC:1 Rate:49375.9/s Total:56 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #057 EPC:860015332900000000002EAA RSSI:-41 NativeRC:1 Rate:50257.6/s Total:57 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #058 EPC:860015332900000000002EC0 RSSI:-49 NativeRC:1 Rate:51139.3/s Total:58 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #059 EPC:860015332900000000002F10 RSSI:-39 NativeRC:1 Rate:52021.0/s Total:59 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #060 EPC:860015332900000000002EB1 RSSI:-57 NativeRC:1 Rate:52902.7/s Total:60 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #061 EPC:860015332900000000002E9C RSSI:-53 NativeRC:1 Rate:53784.4/s Total:61 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #062 EPC:860015332900000000002EEA RSSI:-45 NativeRC:1 Rate:54666.1/s Total:62 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #063 EPC:860015332900000000002EC6 RSSI:-43 NativeRC:1 Rate:55547.9/s Total:63 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #064 EPC:860015332900000000002F0F RSSI:-39 NativeRC:1 Rate:56429.6/s Total:64 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #065 EPC:860015332900000000000390 RSSI:-37 NativeRC:1 Rate:57311.3/s Total:65 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #066 EPC:860015332900000000002EED RSSI:-51 NativeRC:1 Rate:58193.0/s Total:66 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #067 EPC:860015332900000000002F16 RSSI:-46 NativeRC:1 Rate:59074.7/s Total:67 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #068 EPC:860015332900000000002F0B RSSI:-45 NativeRC:1 Rate:59956.4/s Total:68 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #069 EPC:860015332900000000002EBB RSSI:-53 NativeRC:1 Rate:60838.1/s Total:69 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #070 EPC:860015332900000000002ECF RSSI:-50 NativeRC:1 Rate:61719.8/s Total:70 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #071 EPC:860015332900000000002EFD RSSI:-51 NativeRC:1 Rate:62601.6/s Total:71 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #072 EPC:860015332900000000002EE5 RSSI:-44 NativeRC:1 Rate:63483.3/s Total:72 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #073 EPC:860015332900000000002EF9 RSSI:-46 NativeRC:1 Rate:64365.0/s Total:73 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #074 EPC:860015332900000000002EC4 RSSI:-45 NativeRC:1 Rate:65246.7/s Total:74 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT2 NEW #075 EPC:860015332900000000002EA8 RSSI:-40 NativeRC:1 Rate:66128.4/s Total:75 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT2 NEW #076 EPC:860015332900000000001E7F RSSI:-59 NativeRC:1 Rate:67010.1/s Total:76 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT2 NEW #077 EPC:860015332900000000002EB4 RSSI:-39 NativeRC:1 Rate:67891.8/s Total:77 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT2 NEW #078 EPC:860015332900000000002F03 RSSI:-41 NativeRC:1 Rate:68773.5/s Total:78 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT2 NEW #079 EPC:860015332900000000002E9F RSSI:-55 NativeRC:1 Rate:69655.2/s Total:79 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT2 NEW #080 EPC:860015332900000000002EA9 RSSI:-38 NativeRC:1 Rate:70537.0/s Total:80 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT2 NEW #081 EPC:860015332900000000002EB8 RSSI:-39 NativeRC:1 Rate:71418.7/s Total:81 Dup:1.0x
